Timestamp,1. Rate this from 1-10,2. Rate this from 1-10,3. Rate this from 1-10,4. Rate this from 1-10,5. Rate this from 1-10,6. Rate this from 1-10,7. Rate this from 1-10,8. Rate this from 1-10,9. Rate this from 1-10,10. Rate this from 1-10,11. Rate this from 1-10,12. Rate this from 1-10,13. Rate this from 1-10,14. Rate this from 1-10,15. Rate this from 1-10,16. Rate this from 1-10,17. Rate this from 1-10,18. Rate this from 1-10,19. Rate this from 1-10,20. Rate this from 1-10,21. Rate this from 1-10,22. Rate this from 1-10,23. Rate this from 1-10,24. Rate this from 1-10,25. Rate this from 1-10,26. Rate this from 1-10,27. Rate this from 1-10,28. Rate this from 1-10,29. Rate this from 1-10,30. Rate this from 1-10,31. Rate this from 1-10,32. Rate this from 1-10,33. Rate this from 1-10,34. Rate this from 1-10,35. Rate this from 1-10,36. Rate this from 1-10,37. Rate this from 1-10,"Are there any other styles of nails you'd like to see? (ex. solid colours, chrome, nail art, charms/diamonds, etc)"
5/13/2021 13:44:49,7,4,7,5,7,9,8,4,6,10,5,9,1,4,5,8,10,10,7,7,8,6,9,8,8,7,6,7,7,3,9,4,3,7,1,10,7,n/a
5/13/2021 13:54:41,9,8,6,6,4,5,5,4,6,10,6,7,5,8,5,9,10,10,10,10,9,8,10,7,5,7,10,8,7,8,10,5,8,10,7,9,9,"I love minimalistic nail designs! Cutesy stuff w flowers, pearls, etc. I love the French tips, especially w 🍒 art. The heart flames are also cute!"
5/13/2021 14:01:34,8,7,4,5,4,9,8,4,10,10,6,5,5,5,5,8,9,9,7,6,9,7,5,10,6,8,6,6,6,4,9,7,8,8,3,6,8,The clam irredescent texture nails 
5/13/2021 14:03:04,8,4,6,9,10,10,10,10,9,9,8,5,5,5,8,9,10,8,7,7,6,8,8,10,6,7,4,4,5,3,7,7,7,5,1,5,8,Maybe more nail art 
5/13/2021 15:37:25,9,5,8,10,7,10,10,6,5,10,8,10,3,5,5,10,10,8,5,4,7,8,9,10,6,4,10,10,8,8,10,5,5,5,2,9,9,Slightly sheer pinks/nudes
5/13/2021 16:10:54,7,9,3,9,8,5,9,9,9,9,9,8,2,1,5,7,8,8,2,5,5,6,9,7,1,1,1,7,6,4,5,3,5,1,2,6,7,"Solid colours, ombré, iridescent "
5/13/2021 16:29:59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Umm more ombré designs! 
5/13/2021 19:14:31,4,6,4,6,8,3,6,8,4,7,7,7,5,4,4,4,9,8,8,6,8,5,5,5,3,3,4,4,9,3,8,3,8,2,2,9,7,solid colours and abstract line art!
5/13/2021 20:35:25,6,9,8,8,9,8,8,8,7,7,9,8,6,5,3,7,7,7,5,4,8,5,7,8,8,8,6,9,10,8,9,4,2,7,3,10,8,there’s so much that can be done with nails so this is so hard. i personally like solid colours most but for designs i rly like the sheer base with 1-2 other colours (white and sage green) for a simple swirly design. matisse line art on sheer nails as well
5/13/2021 22:00:50,7,7,6,9,7,8,9,7,9,9,9,8,6,10,8,9,7,6,6,10,6,9,10,10,3,8,7,7,9,5,5,3,8,5,5,6,6,sailor moon theme 🥺
5/13/2021 22:02:13,9,5,7,3,8,10,6,7,3,9,9,9,1,8,2,8,5,7,8,3,2,8,7,9,6,7,9,9,8,9,9,8,7,9,2,8,8,Textured ones I’ll send a pic if I can find it LOL 
5/13/2021 22:39:27,8,7,7,8,8,9,7,9,10,8,10,9,10,7,8,9,8,7,7,9,7,6,8,8,6,7,8,8,7,7,8,8,7,6,7,8,8,Sailor Moon set would be super cute
5/13/2021 23:08:56,7,9,6,8,5,5,9,7,7,8,10,10,10,6,4,3,10,10,8,10,9,5,8,5,5,4,2,4,8,8,7,2,3,8,9,3,2,I like more plain nails. but most of them look cool 😎 
5/14/2021 18:14:29,7,10,10,5,8,8,10,8,4,7,8,10,8,5,10,6,10,4,4,2,2,6,6,7,8,9,8,2,9,1,5,1,1,2,3,6,10,Colour change 
5/16/2021 8:59:30,8,7,6,7,8,7,9,6,6,9,6,8,7,7,7,9,7,7,8,7,8,8,7,7,8,7,9,9,9,8,9,6,9,9,7,9,7,n/aaa
5/16/2021 13:55:01,2,4,3,5,4,6,5,6,5,6,5,8,3,8,6,8,7,6,6,5,5,6,5,10,7,8,6,8,10,6,10,6,8,9,2,8,10,Simple
5/16/2021 13:56:48,3,4,6,7,6,7,8,8,4,10,7,6,3,2,1,10,10,9,8,4,9,8,9,8,6,4,7,1,7,3,9,3,8,1,5,5,8,"Tips with different colours, preferably pastel tips! "
5/16/2021 14:07:16,7,10,7,10,10,10,10,10,9,10,10,10,10,8,5,9,9,7,5,9,9,9,7,9,6,5,9,9,10,6,5,10,8,10,8,10,10,More ombre
5/16/2021 14:24:38,7,8,6,8,3,3,8,3,9,5,9,10,5,4,5,7,10,10,8,8,8,6,10,8,5,5,5,7,10,3,9,2,10,3,3,5,4,Chrome art and ombré patterns 
5/16/2021 16:22:07,7,6,10,7,4,3,6,3,3,1,1,1,1,1,4,7,9,7,5,1,10,7,10,6,1,1,9,9,5,1,10,4,8,1,1,8,7,Colorful tips 
5/16/2021 19:48:06,7,7,6,7,8,7,9,6,6,9,6,8,7,7,7,9,7,7,8,7,8,8,7,7,8,7,9,9,9,8,9,6,9,9,7,9,7,n/aaa
5/16/2021 21:22:52,7,10,5,7,9,5,6,5,3,9,6,6,10,2,1,3,5,5,5,5,2,3,3,5,4,1,10,1,2,1,2,3,10,10,10,3,6,Charms and diamonds :)